Event,Time,Machine_0_Status,Machine_1_Status,Machine_2_Status,Queue_0,Queue_1,Queue_2,Waiting_Time
Product_0_Arrival,2.8156085398611546,Idle,Idle,Idle,0,0,0,0.0
Product_0_Queue_Machine_0,2.8156085398611546,Busy,Idle,Idle,0,0,0,0.0
Product_0_Processed_Machine_0,8.463297077961847,Busy,Idle,Idle,0,0,0,5.647688538100693
Product_0_Queue_Machine_1,8.463297077961847,Idle,Busy,Idle,0,0,0,0.0
Machine_1_Failure,16.98632693436987,Idle,Busy,Idle,0,0,0,0.0
Machine_1_Repaired,20.05059215991868,Idle,Busy,Idle,0,0,0,0.0
Product_0_Processed_Machine_1,20.05059215991868,Idle,Busy,Idle,0,0,0,11.587295081956832
Product_0_Queue_Machine_2,20.05059215991868,Idle,Idle,Busy,0,0,0,0.0
Product_1_Arrival,20.87633712536628,Idle,Idle,Busy,0,0,0,0.0
Product_1_Queue_Machine_0,20.87633712536628,Busy,Idle,Busy,0,0,0,0.0
Product_0_Processed_Machine_2,24.329633452118816,Busy,Idle,Busy,0,0,0,4.279041292200137
Product_0_Departure,24.329633452118816,Busy,Idle,Idle,0,0,0,21.51402491225766
Product_1_Processed_Machine_0,26.886852410172807,Busy,Idle,Idle,0,0,0,6.010515284806527
Product_1_Queue_Machine_1,26.886852410172807,Idle,Busy,Idle,0,0,0,0.0
Product_2_Arrival,28.263837495593823,Idle,Busy,Idle,0,0,0,0.0
Product_2_Queue_Machine_0,28.263837495593823,Busy,Busy,Idle,0,0,0,0.0
Product_3_Arrival,29.467911428091803,Busy,Busy,Idle,0,0,0,0.0
Product_4_Arrival,30.683579965085347,Busy,Busy,Idle,1,0,0,0.0
Product_5_Arrival,32.86010234184821,Busy,Busy,Idle,2,0,0,0.0
Product_1_Processed_Machine_1,33.417378024237856,Busy,Busy,Idle,3,0,0,6.5305256140650485
